"CD_MUN";"NM_MUN";"V00748";"V00749";"V00750";"V00751";"V00752";"V00753";"V00754";"V00755";"V00756";"V00757";"V00758";"V00759";"V00760"
"3304557";"Rio de Janeiro";"367600";"430616";"444231";"451606";"471523";"494233";"416396";"390022";"373889";"347879";"291713";"363810";"185791"
"3304607";"Santa Maria Madalena";"642";"602";"593";"585";"667";"676";"671";"636";"595";"538";"484";"502";"238"
"3304706";"Santo Antônio de Pádua";"2437";"2764";"2657";"2740";"2946";"3083";"2648";"2693";"2524";"2182";"1765";"2086";"873"
"3304755";"São Francisco de Itabapoana";"3035";"3084";"2974";"2930";"3011";"3008";"2646";"2311";"2266";"1928";"1375";"1630";"445"
"3304805";"São Fidélis";"2301";"2568";"2372";"2563";"2760";"2983";"2432";"2436";"2254";"2170";"1651";"1996";"894"
"3304904";"São Gonçalo";"51898";"61271";"63684";"64580";"67755";"72989";"64124";"61861";"57569";"51614";"40890";"46752";"18110"
"3305000";"São João da Barra";"2141";"2286";"2386";"2497";"2602";"2789";"2659";"2377";"2219";"2062";"1492";"1702";"688"
"3305109";"São João de Meriti";"28757";"32240";"33677";"32164";"32634";"33571";"29467";"28877";"26833";"24234";"19474";"19827";"7390"
"3305133";"São José de Ubá";"395";"452";"449";"437";"463";"561";"443";"452";"443";"362";"265";"359";"128"
"3305158";"São José do Vale do Rio Preto";"1479";"1678";"1741";"1642";"1501";"1606";"1381";"1440";"1288";"983";"782";"831";"285"
"3305208";"São Pedro da Aldeia";"6793";"7090";"7111";"7065";"7795";"8740";"7135";"6854";"6009";"5173";"4076";"4549";"1489"
"3305307";"São Sebastião do Alto";"435";"427";"476";"470";"476";"561";"477";"497";"509";"415";"335";"357";"162"
"3305406";"Sapucaia";"1131";"1223";"1108";"1178";"1211";"1247";"1088";"1142";"1114";"983";"782";"846";"305"
"3305505";"Saquarema";"5453";"5641";"5593";"5718";"6053";"6455";"5722";"5693";"5735";"5711";"4700";"5393";"1837"
"3305554";"Seropédica";"5538";"6229";"6084";"5688";"5543";"5890";"5129";"5035";"4465";"3948";"2992";"3097";"1033"
"3305604";"Silva Jardim";"1460";"1565";"1458";"1321";"1480";"1561";"1257";"1218";"1088";"992";"723";"741";"280"
"3305703";"Sumidouro";"948";"1054";"1135";"1092";"1143";"1183";"856";"899";"772";"614";"467";"437";"130"
"3305752";"Tanguá";"2006";"2314";"2176";"2088";"2153";"2526";"2154";"2036";"1703";"1455";"1091";"1141";"382"
"3305802";"Teresópolis";"10613";"11859";"11601";"11387";"11782";"12441";"10881";"10234";"9873";"8739";"7157";"8448";"3692"
"3305901";"Trajano de Moraes";"669";"636";"614";"630";"668";"717";"638";"639";"652";"524";"395";"442";"183"
"3306008";"Três Rios";"5055";"5382";"5610";"5512";"5537";"5850";"5083";"4984";"4755";"4348";"3407";"4011";"1693"
"3306107";"Valença";"4405";"4780";"4514";"4158";"4323";"4646";"4090";"4174";"4470";"4179";"3113";"3881";"1801"
"3306156";"Varre-Sai";"895";"748";"685";"688";"715";"700";"600";"566";"474";"387";"344";"296";"129"
"3306206";"Vassouras";"2231";"2464";"2248";"2185";"2357";"2537";"2111";"2107";"2064";"1825";"1421";"1734";"722"
"3306305";"Volta Redonda";"15500";"17862";"18380";"17964";"19065";"20562";"16761";"16768";"17766";"16909";"13832";"14929";"6025"
